id,year,tabac,gum
55.0,2000,7.0,12.0
55.0,2001,30.0,35.0
55.0,2002,55.0,61.0
55.0,2010,19.0,3.0
55.0,2011,25.0,3.0
55.0,2012,3.0,2.0
55.0,2013,8.0,2.0
55.0,2014,10.0,1.0
55.0,2016,6.0,4.0
55.0,2017,3.0,1.0
56.0,2001,10.0,1.0
56.0,2002,18.0,3.0
56.0,2010,4.0,5.0
56.0,2011,11.0,20.0
56.0,2012,10.0,2.0
56.0,2013,15.0,3.0
56.0,2014,7.0,1.0
56.0,2017,7.0,1.0
57.0,2002,17.0,12.0
57.0,2010,29.0,11.0
57.0,2011,10.0,1.0
57.0,2012,26.0,40.0
57.0,2013,10.0,1.0
57.0,2018,6.0,1.0
57.0,2019,5.0,2.0
58.0,2002,7.0,3.0
58.0,2010,24.0,34.0
58.0,2011,25.0,53.0
58.0,2012,21.0,32.0
58.0,2013,21.0,22.0
58.0,2014,17.0,32.0
58.0,2015,4.0,20.0
58.0,2017,10.0,1.0
58.0,2018,7.0,2.0
58.0,2019,5.0,2.0
59.0,2002,30.0,1.0
59.0,2010,21.0,3.0
59.0,2011,2.0,10.0
59.0,2013,10.0,2.0
59.0,2015,17.0,2.0
59.0,2018,15.0,3.0
59.0,2019,3.0,1.0
60.0,2010,10.0,2.0
60.0,2011,15.0,11.0
60.0,2012,50.0,55.0
60.0,2013,10.0,25.0
60.0,2014,10.0,31.0
60.0,2015,11.0,4.0
60.0,2017,5.0,2.0
60.0,2018,2.0,1.0
61.0,2001,10.0,40.0
61.0,2002,15.0,22.0
61.0,2010,14.0,2.0
61.0,2011,24.0,3.0
61.0,2017,9.0,1.0
61.0,2018,10.0,1.0
61.0,2019,1.0,1.0
62.0,2010,12.0,5.0
62.0,2011,39.0,34.0
62.0,2012,15.0,15.0
62.0,2013,13.0,40.0
62.0,2014,8.0,21.0
62.0,2015,13.0,6.0
62.0,2016,19.0,24.0
62.0,2017,8.0,2.0
62.0,2019,24.0,4.0
63.0,2000,7.0,2.0
63.0,2010,8.0,4.0
63.0,2012,30.0,1.0
63.0,2015,10.0,1.0
63.0,2016,7.0,1.0
63.0,2018,7.0,3.0
63.0,2019,10.0,3.0
64.0,2010,10.0,2.0
64.0,2011,31.0,42.0
64.0,2012,35.0,32.0
64.0,2013,1.0,20.0
64.0,2014,17.0,1.0
64.0,2016,3.0,10.0
65.0,2010,8.0,3.0
65.0,2011,25.0,12.0
65.0,2012,4.0,7.0
65.0,2013,3.0,1.0
65.0,2017,10.0,5.0
66.0,2000,5.0,10.0
66.0,2001,7.0,5.0
66.0,2011,40.0,5.0
66.0,2012,15.0,12.0
66.0,2016,15.0,1.0
67.0,2010,27.0,24.0
67.0,2011,15.0,2.0
67.0,2012,21.0,2.0
67.0,2013,21.0,30.0
67.0,2014,31.0,12.0
67.0,2015,7.0,10.0
67.0,2018,30.0,1.0
67.0,2019,2.0,1.0
68.0,2010,14.0,1.0
68.0,2011,7.0,1.0
68.0,2012,50.0,63.0
68.0,2013,20.0,30.0
68.0,2017,7.0,2.0
68.0,2018,7.0,2.0
68.0,2019,14.0,2.0
69.0,2010,50.0,6.0
69.0,2011,26.0,23.0
69.0,2012,12.0,40.0
69.0,2013,7.0,1.0
69.0,2014,7.0,10.0
69.0,2017,10.0,10.0
70.0,2010,10.0,2.0
70.0,2011,10.0,3.0
70.0,2012,17.0,28.0
70.0,2014,21.0,5.0
70.0,2015,8.0,11.0
70.0,2016,7.0,1.0
70.0,2017,10.0,2.0
70.0,2019,7.0,1.0
71.0,2010,14.0,12.0
71.0,2011,14.0,14.0
71.0,2012,18.0,31.0
71.0,2013,10.0,5.0
71.0,2015,17.0,14.0
71.0,2016,6.0,1.0
71.0,2017,10.0,20.0
